0c 0a 89 ff 28 fd ce ef e7 ff bb 00 1a ff f9 00 
0c 03 eb ff 18 fd d5 ef fe ff bb 00 16 ff fe 00 
0b f6 45 ff 18 fd cf f0 01 ff be 00 18 ff fa 00 
0b e3 2c ff 29 fd e4 f0 0f ff bc 00 19 ff fb 00 
0b d0 8e ff 21 fd e0 f0 11 ff bc 00 19 ff fd 00 
0b af 2d ff 1d fd d7 ef fc ff be 00 19 ff fc 00 
0b 90 c6 ff 10 fd dc f0 03 ff bd 00 15 ff fe 00 
0b 68 9a ff 1d fd cf ef fc ff ba 00 19 ff fb 00 
0b 3f 1b ff 31 fd cc ef e8 ff bb 00 18 ff fd 00 
0b 16 68 ff 24 fd c8 f0 08 ff bb 00 17 ff fa 00 
0a e3 55 ff 1e fd d1 ef e6 ff bd 00 18 ff f8 00 
0a b4 a0 ff 22 fd ce ef f6 ff b8 00 17 ff fc 00 
0a 7c 67 ff 1c fd d3 ef f5 ff bb 00 19 ff fc 00 
0a 47 d6 ff 2a fd ca f0 07 ff bb 00 1b ff fc 00 
0a 14 82 ff 24 fd d5 f0 10 ff bb 00 1a ff fb 00 
09 d8 45 ff 30 fd d7 f0 0b ff b9 00 1c ff fb 00 
09 a6 f2 ff 18 fd cf f0 04 ff ba 00 1a ff fa 00 
09 6f c5 ff 17 fd d4 ef f4 ff bb 00 19 ff f9 00 
09 44 4f ff 0c fd de ef f7 ff ba 00 17 ff fd 00 
09 20 e6 ff 18 fd d6 f0 00 ff bc 00 1a ff fd 00 
08 fc 04 ff 1c fd d8 f0 0a ff bc 00 19 ff fd 00 
08 e3 47 ff 2a fd d1 f0 09 ff bc 00 19 ff fd 00 
08 c3 22 ff 31 fd c5 f0 0e ff b9 00 1a ff fb 00 
08 a9 bc ff 18 fd c6 ef ff ff b9 00 17 ff fb 00 
08 91 29 ff 24 fd d4 f0 09 ff ba 00 18 ff fd 00 
08 72 f0 ff 16 fd d6 ef ff ff ba 00 19 ff fe 00 
08 5b 6b ff 23 fd d4 ef f9 ff bb 00 18 ff fd 00 
08 37 e0 ff 2d fd e1 ef e4 ff b9 00 19 ff fc 00 
